country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","26-02-2026 19:00:00",26.146529,87.454184,NO2,1,7,3
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","26-02-2026 19:00:00",25.5626095,84.663264,NH3,1,2,2
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","26-02-2026 19:00:00",25.5626095,84.663264,CO,39,70,58
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","26-02-2026 19:00:00",13.615387,79.409230,NO2,32,39,34
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","26-02-2026 19:00:00",13.615387,79.409230,NH3,6,7,6
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","26-02-2026 19:00:00",13.615387,79.409230,CO,19,24,22
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","26-02-2026 19:00:00",16.536107,80.594233,CO,20,40,28
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","26-02-2026 19:00:00",16.536107,80.594233,OZONE,13,28,23
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","26-02-2026 19:00:00",16.486692,80.699436,PM2.5,44,64,48
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","26-02-2026 19:00:00",16.509717,80.612222,CO,36,42,40
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","26-02-2026 19:00:00",25.204762,85.514960,CO,48,66,52
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","26-02-2026 19:00:00",25.567520,83.966379,PM10,46,85,69
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","26-02-2026 19:00:00",25.567520,83.966379,CO,20,29,25
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","26-02-2026 19:00:00",24.792403,84.992416,CO,1,161,79
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","26-02-2026 19:00:00",24.762518,84.982348,PM2.5,36,94,63
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","26-02-2026 19:00:00",24.762518,84.982348,PM10,47,73,64
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","26-02-2026 19:00:00",24.762518,84.982348,NO2,11,55,34
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","26-02-2026 19:00:00",14.675886,77.593027,PM2.5,56,196,76
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","26-02-2026 19:00:00",14.675886,77.593027,NH3,5,5,5
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","26-02-2026 19:00:00",14.465052,78.824187,PM2.5,66,90,80
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","26-02-2026 19:00:00",16.9872867,81.7363176,NO2,14,52,30
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","26-02-2026 19:00:00",16.9872867,81.7363176,NH3,3,6,4
